image,color,pattern,extra_features
images/image(1).jpg,white,dots,black dots
images/image(2).jpg,purple,lines,black lines
images/image(3).jpg,yellow,stripes,black stripes
images/image(4).jpg,white,"stripes,lines",black stripes
images/image(5).jpg,white,stripes,black stripes
images/image(6).jpg,yellow,"stripes,lines",black lines
images/image(7).jpg,yellow,stripes,orange dots
images/image(8).jpg,yellow,dots,black dots
images/image(9).jpg,white,dots,black dots
images/image(10).jpg,white,dots,black dots
images/image(11).jpg,light blue,dots,blue dots
images/image(12).jpg,green,stripes,green stripes
images/image(13).jpg,white,blotches,black blotches
images/image(14).jpg,white,dots,brown dots
images/image(15).jpg,white,blotches,black blotches
images/image(16).jpg,white,blotches,brown blotches
images/image(17).jpg,white,blotches,brown blotches
images/image(18).jpg,white,blotches,brown blotches
images/image(19).jpg,white,blotches,orange blotches
images/image(20).jpg,yellow,blotches,orange blotches
images/image(21).jpg,yellow,blotches,brown blotches
images/image(22).jpg,yellow,blotches,white dots
images/image(23).jpg,yellow,blotches,white dots
images/image(24).jpg,yellow,blotches,white dots
images/image(25).jpg,"yellow,orange",blotches,dots
images/image(26).jpg,"yellow,white","blotches,dots",black dots
images/image(27).jpg,green,dots,ornage dots
images/image(28).jpg,green,dots,brown dots
images/image(29).jpg,green,dots,
images/image(30).jpg,yellow,dots,orange dots
images/image(31).jpg,"green,orange",dots,orange dots
images/image(32).jpg,"light blue,blue",,
images/image(33).jpg,"white,light,brown",marks,
images/image(34).jpg,"white,light",,
images/image(35).jpg,"white,light,brown",marks,
images/image(36).jpg,green,,
images/image(37).jpg,"green,brown",marks,
images/image(38).jpg,green,,
images/image(39).jpg,"black,blue",blotches,
images/image(40).jpg,black,,
images/image(41).jpg,"brown,black",dots,black dots
images/image(42).jpg,"black,orange",dots,
images/image(43).jpg,"brown,orange",dots,white stripes
images/image(44).jpg,brown,,
images/image(45).jpg,"brown,white,light","stripes,dots",black dots
images/image(46).jpg,"brown,white,light","stripes,dots",black dots
images/image(47).jpg,"brown,orange,white","stripes,dots",black dots
images/image(48).jpg,"brown,black",dots,
images/image(49).jpg,"orange,black",dots,
images/image(50).jpg,"light blue,blue",,
images/image(51).jpg,"brown,black",dots,white  stripes
images/image(52).jpg,"brown,black",dots,white stripes
images/image(53).jpg,"brown,black",dots,white stripes
images/image(54).jpg,black,,
images/image(55).jpg,"brown,black",dots,white stripes
images/image(56).jpg,"light blue,blue",blotches,
images/image(57).jpg,"white,light,black",blotches,
images/image(58).jpg,"blue,light blue",,
images/image(59).jpg,brown,dots,
images/image(60).jpg,brown,dots,
images/image(61).jpg,"blue,brown",dots,black dots
images/image(62).jpg,grey,dots,black dots
images/image(63).jpg,"grey,light blue",dots,black dots
images/image(64).jpg,brown,blotches,orange blotches
images/image(65).jpg,brown,,"orange blotches,black dots"
images/image(66).jpg,"blue,brown",dots,black dots
images/image(67).jpg,"blue,grey",dots,black dots
images/image(68).jpg,"grey,brown","dots,blotches","black dots,orange blotches"
images/image(69).jpg,"grey,light blue",dots,"black dots,orange blotches"
images/image(70).jpg,blue,,
images/image(71).jpg,"blue,grey","dots,blotches","black dots,orange blotches"
images/image(72).jpg,"brown,blue,grey",,
images/image(73).jpg,"blue,grey","dots,blotches","ornage blotches,black dots "
images/image(74).jpg,"blue,grey","dots,blotches","ornage blotches,black dots "
images/image(75).jpg,"brown,grey",stripes,black stripes
images/image(76).jpg,brown,dots,black dots
images/image(77).jpg,brown,blotches,orange blotches
images/image(78).jpg,"brown,grey",,
images/image(79).jpg,"black,orange","dots,blotches","white blotches,black dots"
images/image(80).jpg,"orange,black","dots,stripes","white stripes,white dots"
images/image(81).jpg,"black,white,brown",blotches,white blotches
images/image(82).jpg,orange,dots,black dots
images/image(83).jpg,"black,brown",,
images/image(84).jpg,brown,blotches,white blotches
images/image(85).jpg,brown,blotches,"white,blotches"
images/image(86).jpg,orange,blotches,"white blotches,black blotches"
images/image(87).jpg,black,,
images/image(88).jpg,"black,orange","dots,blotches",white blotches
images/image(89).jpg,"black,orange","dots,blotches",white blotches
images/image(90).jpg,"gold,white","dots,blotches","gold blotches,black dots"
images/image(91).jpg,"black,orange","dots,blotches","white blotches,black dots"
images/image(92).jpg,brown,,
images/image(93).jpg,orange,blotches,"yellow blotches,black blotches"
images/image(94).jpg,brown,blotches,black blotches
images/image(95).jpg,yellow,blotches,"orange blotches,black blotches"
images/image(96).jpg,yellow,stripes,black stripes
images/image(97).jpg,yellow,stripes,black stripes
images/image(98).jpg,yellow,stripes,black stripes
images/image(99).jpg,"orange,white",blotches,black blotches
images/image(100).jpg,orange,blotches,black blotches
images/image(101).jpg,orange,blotches,black blotches
images/image(102).jpg,brown,"stripes,dots","white stripes,black dots"
images/image(103).jpg,orange,blotches,black blotches
images/image(104).jpg,orange,blotches,black blotches
images/image(105).jpg,white,"stripes,dots","black stripes,black dots"
images/image(106).jpg,white,"blotches,dots","black blotches,white dots"
images/image(107).jpg,brown,blotches,yellow blotches
images/image(108).jpg,brown,stripes,black stripes
images/image(109).jpg,brown,,
images/image(110).jpg,brown,"dots,blotches","black dots,yellow blotches"
images/image(111).jpg,brown,"dots,blotches","black dots,yellow blotches"
images/image(112).jpg,brown,blotches,white blotches
images/image(113).jpg,brown,blotches,white blotches
images/image(114).jpg,brown,dots,black dots
images/image(115).jpg,brown,blotches,black blotches
images/image(116).jpg,brown,dots,yellow blotches
images/image(117).jpg,"orange,brown",dots,black dots
images/image(118).jpg,orange,dots,black dots
images/image(119).jpg,yellow,dots,black dots
images/image(120).jpg,grey,dots,black dots
images/image(121).jpg,brown,dots,black dots
images/image(122).jpg,brown,"dots,blotches","yello blotches,black dots"
images/image(123).jpg,orange,"dots,stripes","brown stripes,black dots"
images/image(124).jpg,brown,dots,black dots
images/image(125).jpg,orange,"dots,stripes","brown stripes,black dots"
images/image(126).jpg,brown,dots,black dots
images/image(127).jpg,brown,"dots,stripes","black dots,brown stripes"
images/image(128).jpg,brown,dots,brown dots
images/image(129).jpg,brown,blotches,"ornage blotches,yellow blotches "
images/image(130).jpg,brown,blotches,white blotches
images/image(131).jpg,orange,,
images/image(132).jpg,orange,,
images/image(133).jpg,ornage,,
images/image(134).jpg,brown,,
images/image(135).jpg,brown,blotches,white blotches
images/image(136).jpg,brown,blotches,white blotches
images/image(137).jpg,black,blotches,
images/image(138).jpg,brown,blotches,white blotches
images/image(139).jpg,brown,blotches,black blotches
images/image(140).jpg,black,stripes,white stripes
images/image(141).jpg,white,blotches,"black blotches,white blotches"
images/image(142).jpg,"black,orange",blotches,"white blotches,black blotches"
images/image(143).jpg,white,dots,black dots
images/image(144).jpg,white,stripes,brown stripes
images/image(145).jpg,brown,stripes,white stripes
images/image(146).jpg,grey,blotches,brown blotches
images/image(147).jpg,white,stripes,black stripes
images/image(148).jpg,yellow,blotches,orange blotches
images/image(149).jpg,orange,stripes,orange stripes
images/image(150).jpg,orange,blotches,black blotches
images/image(151).jpg,brown,stripes,white stripes
images/image(152).jpg,black,blotches,orange blotches
images/image(153).jpg,white,blotches,brown blotches
images/image(154).jpg,black,blotches,white blotches
images/image(155).jpg,black,"blotches,dots","white blotches,black dots"
images/image(156).jpg,brown,"squares,stripes","white stripes,brown squares"
images/image(157).jpg,grey,,
images/image(158).jpg,blue,dots,"orange dots,white dots"
images/image(159).jpg,black,dots,orange dots
images/image(160).jpg,black,blotches,red blotches
images/image(161).jpg,white,dots,black dots
images/image(162).jpg,brown,stripes,white stripes
images/image(163).jpg,brown,,
images/image(164).jpg,black,stripes,orange stripes
images/image(165).jpg,white,blotches,black blotches
